date,month_year,avg_sentiment
2012-09-01,2012-09,0.15484375
2012-10-01,2012-10,0.0270793103448275
2012-11-01,2012-11,0.2112096153846154
2012-12-01,2012-12,0.2511461538461538
2013-01-01,2013-01,0.2361682926829268
2013-02-01,2013-02,0.2406968253968254
2013-03-01,2013-03,0.4077385542168675
2013-04-01,2013-04,-0.1019067796610169
2013-05-01,2013-05,0.262157627118644
2013-06-01,2013-06,0.4716762711864407
2013-07-01,2013-07,0.4303611940298507
2013-08-01,2013-08,0.5600746987951807
2013-09-01,2013-09,0.5188698630136986
2013-10-01,2013-10,0.5647840425531915
2013-11-01,2013-11,0.4923268817204301
2013-12-01,2013-12,0.5334341772151899
2014-01-01,2014-01,0.3353333333333333
2014-02-01,2014-02,0.4249945945945946
2014-03-01,2014-03,0.4735231707317073
2014-04-01,2014-04,0.5785045977011495
2014-05-01,2014-05,0.5794461538461538
2014-06-01,2014-06,0.419567816091954
2014-07-01,2014-07,0.3996619718309859
2014-08-01,2014-08,0.4171
2014-09-01,2014-09,0.3945276923076923
2014-10-01,2014-10,0.1852297619047619
2014-11-01,2014-11,0.3380573333333333
2014-12-01,2014-12,-0.0219420289855072
2015-01-01,2015-01,0.3516065934065934
2015-02-01,2015-02,0.3944303571428572
2015-03-01,2015-03,0.4371978260869565
2015-04-01,2015-04,0.439771875
2015-05-01,2015-05,0.5195465753424658
2015-06-01,2015-06,0.2188559322033898
2015-07-01,2015-07,0.487138596491228
2015-08-01,2015-08,0.4441760563380281
2015-09-01,2015-09,0.4447095890410958
2015-10-01,2015-10,0.3785507692307692
2015-11-01,2015-11,0.4874676056338028
2015-12-01,2015-12,0.2692756097560975
2016-01-01,2016-01,0.0986311688311688
2016-02-01,2016-02,0.0951890625
2016-03-01,2016-03,0.3605826666666666
2016-04-01,2016-04,0.1930948275862069
2016-05-01,2016-05,0.3021704918032787
2016-06-01,2016-06,0.0967694915254237
2016-07-01,2016-07,0.1995737704918032
2016-08-01,2016-08,0.2991507042253521
2016-09-01,2016-09,0.5575895522388059
2016-10-01,2016-10,0.1459630136986301
2016-11-01,2016-11,0.5062705882352941
2016-12-01,2016-12,0.5978129411764707
2017-01-01,2017-01,0.5510470588235294
2017-02-01,2017-02,0.7518239436619718
2017-03-01,2017-03,0.6795649484536083
2017-04-01,2017-04,0.6165588235294118
2017-05-01,2017-05,0.7194926470588235
2017-06-01,2017-06,0.4743957142857143
2017-07-01,2017-07,0.3603241379310344
2017-08-01,2017-08,0.3221283582089552
2017-09-01,2017-09,0.360244578313253
2017-10-01,2017-10,0.5267947368421053
2017-11-01,2017-11,0.468424074074074
2017-12-01,2017-12,0.5572942307692308
2018-01-01,2018-01,0.696055421686747
2018-02-01,2018-02,0.5712591549295775
2018-03-01,2018-03,0.4255634615384615
2018-04-01,2018-04,0.1596263157894737
2018-05-01,2018-05,0.1255875
2018-06-01,2018-06,0.1910482142857143
2018-07-01,2018-07,0.1400629629629629
2018-08-01,2018-08,0.1530696428571428
2018-09-01,2018-09,0.0438563636363636
2018-10-01,2018-10,0.1882038461538461
2018-11-01,2018-11,0.117554054054054
2018-12-01,2018-12,-0.0258344262295081
2019-01-01,2019-01,0.35895
2019-02-01,2019-02,-0.0166696969696969
2019-03-01,2019-03,0.0071162790697674
2019-04-01,2019-04,0.4111088235294118
2019-05-01,2019-05,0.3311444444444444
2019-06-01,2019-06,0.0778791666666666
2019-07-01,2019-07,-0.2059333333333333
2019-08-01,2019-08,-0.1080459999999999
2019-09-01,2019-09,0.1191484848484848
2019-10-01,2019-10,0.1237131578947368
2019-11-01,2019-11,0.308348717948718
2019-12-01,2019-12,0.2285694444444444
2020-01-01,2020-01,0.2033
2020-02-01,2020-02,0.140015
2020-03-01,2020-03,0.0274625
2020-04-01,2020-04,-0.3293142857142857
2020-05-01,2020-05,-0.3793103448275862
2020-06-01,2020-06,-0.0929965517241379
2020-07-01,2020-07,-0.1656296296296296
2020-08-01,2020-08,0.0641818181818181
2020-09-01,2020-09,0.1580833333333333
2020-10-01,2020-10,0.0894090909090909
2020-11-01,2020-11,0.517884
2020-12-01,2020-12,0.2332233333333333
2021-01-01,2021-01,0.4857677419354839
2021-02-01,2021-02,0.34684
2021-03-01,2021-03,0.6592684210526315
2021-04-01,2021-04,0.7486410256410256
2021-05-01,2021-05,0.6652888888888889
2021-06-01,2021-06,0.3334385964912281
2021-07-01,2021-07,0.4640098591549295
2021-08-01,2021-08,0.5992770833333333
2021-09-01,2021-09,0.0026285714285714
2021-10-01,2021-10,0.3119196428571428
2021-11-01,2021-11,0.4422725274725275
2021-12-01,2021-12,0.3949808510638298
2022-01-01,2022-01,0.415251923076923
2022-02-01,2022-02,0.1921321739130434
2022-03-01,2022-03,0.0842993103448275
2022-04-01,2022-04,-0.0426552845528455
2022-05-01,2022-05,0.1969873626373626
2022-06-01,2022-06,-0.0054120218579234
2022-07-01,2022-07,0.0191137931034482
2022-08-01,2022-08,0.1484937172774869
2022-09-01,2022-09,0.2100603015075376
2022-10-01,2022-10,0.2729485714285714
2022-11-01,2022-11,0.1076244318181818
2022-12-01,2022-12,-0.0661670520231214
2023-01-01,2023-01,0.1904412903225806
2023-02-01,2023-02,0.3285240601503759
2023-03-01,2023-03,0.4030617142857142
2023-04-01,2023-04,0.3428646551724138
2023-05-01,2023-05,0.4279023076923077
2023-06-01,2023-06,0.3886624999999999
2023-07-01,2023-07,0.4760854014598539
2023-08-01,2023-08,0.5249358333333334
2023-09-01,2023-09,0.3071527559055118
2023-10-01,2023-10,0.2717373913043478
2023-11-01,2023-11,0.4958376712328767
2023-12-01,2023-12,0.3773675925925926
2024-01-01,2024-01,0.503767175572519
2024-02-01,2024-02,0.47224375
2024-03-01,2024-03,0.5385171428571428
2024-04-01,2024-04,0.3793636363636363
2024-05-01,2024-05,0.5353333333333333
2024-06-01,2024-06,0.5267578313253012
2024-07-01,2024-07,0.6602250000000001
2024-08-01,2024-08,0.3063833333333333
2024-09-01,2024-09,0.3520722222222222
2024-10-01,2024-10,0.4114609999999999
2024-11-01,2024-11,0.5900949494949496
2024-12-01,2024-12,0.4831524390243902
2025-01-01,2025-01,0.3958228070175439
2025-02-01,2025-02,0.3646375
2025-03-01,2025-03,0.30176875
2025-04-01,2025-04,-0.0175397435897435
2025-05-01,2025-05,0.3316225
2025-06-01,2025-06,0.127382894736842
2025-07-01,2025-07,0.3006088607594936
2025-08-01,2025-08,0.4114733333333333
2025-09-01,2025-09,0.3517255813953488
2025-10-01,2025-10,0.5424583333333333
